generation;exp_num;collapsed;val_acc;train_acc;lr;num_conv_layers;num_channels;kernels;padding;conv_type;pooling_a_conv;pooling_final;fc_layer;arch_order;in_features
0;1;True;0.073704;0.037481;0.000300;4;[12, 18, 24, 32];[3, 5, 5, 5];[0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;600;['conv', 'pool', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
0;2;True;0.072963;0.037111;0.000300;3;[16, 32, 32];[3, 5, 5];[0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;496;['conv', 'pool', 'conv', 'conv', 'pool', 'fc', 'fc'];336
0;3;True;0.074074;0.037037;0.000300;3;[16, 32, 48];[5, 5, 5];[0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;256;['conv', 'pool', 'conv', 'conv', 'pool', 'fc', 'fc'];182
1;1;True;0.073333;0.035556;0.000300;4;[16, 32, 42, 48];[5, 3, 5, 5];[0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;624;['conv', 'pool', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
1;2;True;0.072963;0.036370;0.000250;4;[16, 38, 48, 48];[7, 5, 5, 5];[1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;560;['conv', 'pool', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
1;3;True;0.072963;0.037111;0.000350;3;[16, 38, 48];[5, 5, 5];[0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;496;['conv', 'pool', 'conv', 'conv', 'pool', 'fc', 'fc'];182
2;1;True;0.074074;0.037259;0.000350;3;[16, 38, 42];[5, 3, 5];[0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;624;['conv', 'pool', 'conv', 'conv', 'pool', 'fc', 'fc'];336
2;2;True;0.074074;0.037704;0.000300;5;[16, 32, 48, 48, 48];[5, 3, 5, 5, 7];[1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;624;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
2;3;True;0.073704;0.035481;0.000300;5;[16, 38, 42, 48, 48];[5, 3, 5, 3, 5];[1, 0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;560;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
3;1;True;0.075926;0.041556;0.000350;4;[10, 38, 42, 48];[5, 3, 3, 5];[0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;624;['conv', 'pool', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];182
3;2;True;0.074074;0.038370;0.000300;6;[16, 38, 42, 48, 48, 54];[5, 3, 5, 5, 7, 5];[1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;752;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
3;3;True;0.075185;0.045259;0.000300;6;[16, 32, 42, 48, 48, 48];[5, 3, 5, 5, 7, 5];[1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;688;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
4;1;True;0.073333;0.041185;0.000250;7;[16, 38, 48, 48, 48, 54, 54];[5, 3, 5, 5, 9, 5, 5];[2, 2, 2, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;688;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
4;2;True;0.073704;0.037333;0.000300;5;[16, 38, 48, 48, 48];[5, 3, 5, 5, 7];[1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;688;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
